peak_name,text,text_list,peak_loc,text_set,target
Loshovka,Loshovka is a majestic peak that offers breathtaking views of the surrounding valleys and forests.,"['Loshovka', 'is', 'a', 'majestic', 'peak', 'that', 'offers', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'valleys', 'and', 'forests', '.']","(0, 8)","[('Loshovka', 0), ('is', 9), ('a', 12), ('majestic', 14), ('peak', 23), ('that', 28), ('offers', 33), ('breathtaking', 40), ('views', 53), ('of', 59), ('the', 62), ('surrounding', 66), ('valleys', 78), ('and', 86), ('forests', 90), ('.', 97)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Tarnytsya,"Tarnytsya stands tall and proud, with its rugged cliffs and snow-capped summit.","['Tarnytsya', 'stands', 'tall', 'and', 'proud', ',', 'with', 'its', 'rugged', 'cliffs', 'and', 'snow', 'capped', 'summit', '.']","(0, 9)","[('Tarnytsya', 0), ('stands', 10), ('tall', 17), ('and', 22), ('proud', 26), (',', 31), ('with', 33), ('its', 38), ('rugged', 42), ('cliffs', 49), ('and', 56), ('snow', 60), ('capped', 65), ('summit', 72), ('.', 78)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Menchelyk,Menchelyk is a hidden gem nestled amidst lush green meadows and crystal-clear streams.,"['Menchelyk', 'is', 'a', 'hidden', 'gem', 'nestled', 'amidst', 'lush', 'green', 'meadows', 'and', 'crystal', 'clear', 'streams', '.']","(0, 9)","[('Menchelyk', 0), ('is', 10), ('a', 13), ('hidden', 15), ('gem', 22), ('nestled', 26), ('amidst', 34), ('lush', 41), ('green', 46), ('meadows', 52), ('and', 60), ('crystal', 64), ('clear', 72), ('streams', 78), ('.', 85)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Rotundul,Rotundul is an iconic peak known for its unique shape and challenging hiking trails.,"['Rotundul', 'is', 'an', 'iconic', 'peak', 'known', 'for', 'its', 'unique', 'shape', 'and', 'challenging', 'hiking', 'trails', '.']","(0, 8)","[('Rotundul', 0), ('is', 9), ('an', 12), ('iconic', 15), ('peak', 22), ('known', 27), ('for', 33), ('its', 37), ('unique', 41), ('shape', 48), ('and', 54), ('challenging', 58), ('hiking', 70), ('trails', 77), ('.', 83)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Buchok,Buchok is a serene mountain that invites adventurers to explore its peaceful trails and tranquil lakes.,"['Buchok', 'is', 'a', 'serene', 'mountain', 'that', 'invites', 'adventurers', 'to', 'explore', 'its', 'peaceful', 'trails', 'and', 'tranquil', 'lakes', '.']","(0, 6)","[('Buchok', 0), ('is', 7), ('a', 10), ('serene', 12), ('mountain', 19), ('that', 28), ('invites', 33), ('adventurers', 41), ('to', 53), ('explore', 56), ('its', 64), ('peaceful', 68), ('trails', 77), ('and', 84), ('tranquil', 88), ('lakes', 97), ('.', 102)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kolan-Bair,Kolan-Bair is a towering peak that offers panoramic vistas of the surrounding mountain ranges.,"['Kolan', 'Bair', 'is', 'a', 'towering', 'peak', 'that', 'offers', 'panoramic', 'vistas', 'of', 'the', 'surrounding', 'mountain', 'ranges', '.']","(0, 10)","[('Kolan', 0), ('Bair', 6), ('is', 11), ('a', 14), ('towering', 16), ('peak', 25), ('that', 30), ('offers', 35), ('panoramic', 42), ('vistas', 52), ('of', 59), ('the', 62), ('surrounding', 66), ('mountain', 78), ('ranges', 87), ('.', 93)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Prosechka,Prosechka is a picturesque mountain adorned with vibrant wildflowers and cascading waterfalls.,"['Prosechka', 'is', 'a', 'picturesque', 'mountain', 'adorned', 'with', 'vibrant', 'wildflowers', 'and', 'cascading', 'waterfalls', '.']","(0, 9)","[('Prosechka', 0), ('is', 10), ('a', 13), ('picturesque', 15), ('mountain', 27), ('adorned', 36), ('with', 44), ('vibrant', 49), ('wildflowers', 57), ('and', 69), ('cascading', 73), ('waterfalls', 83), ('.', 93)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Buchyna,"Buchyna is a paradise for nature lovers, with its dense forests and diverse wildlife.","['Buchyna', 'is', 'a', 'paradise', 'for', 'nature', 'lovers', ',', 'with', 'its', 'dense', 'forests', 'and', 'diverse', 'wildlife', '.']","(0, 7)","[('Buchyna', 0), ('is', 8), ('a', 11), ('paradise', 13), ('for', 22), ('nature', 26), ('lovers', 33), (',', 39), ('with', 41), ('its', 46), ('dense', 50), ('forests', 56), ('and', 64), ('diverse', 68), ('wildlife', 76), ('.', 84)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Yalynky,"Yalynky is a hiker's delight, with its well-marked trails and stunning vistas at every turn.","['Yalynky', 'is', 'a', ""hiker's"", 'delight', ',', 'with', 'its', 'well', 'marked', 'trails', 'and', 'stunning', 'vistas', 'at', 'every', 'turn', '.']","(0, 7)","[('Yalynky', 0), ('is', 8), ('a', 11), (""hiker's"", 13), ('delight', 21), (',', 28), ('with', 30), ('its', 35), ('well', 39), ('marked', 44), ('trails', 51), ('and', 58), ('stunning', 62), ('vistas', 71), ('at', 78), ('every', 81), ('turn', 87), ('.', 91)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Rivna,Rivna is a mesmerizing mountain that captivates visitors with its rugged beauty and peaceful atmosphere.,"['Rivna', 'is', 'a', 'mesmerizing', 'mountain', 'that', 'captivates', 'visitors', 'with', 'its', 'rugged', 'beauty', 'and', 'peaceful', 'atmosphere', '.']","(0, 5)","[('Rivna', 0), ('is', 6), ('a', 9), ('mesmerizing', 11), ('mountain', 23), ('that', 32), ('captivates', 37), ('visitors', 48), ('with', 57), ('its', 62), ('rugged', 66), ('beauty', 73), ('and', 80), ('peaceful', 84), ('atmosphere', 93), ('.', 103)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kyrgun,Kyrgun is a challenging peak that rewards climbers with awe-inspiring views from its summit.,"['Kyrgun', 'is', 'a', 'challenging', 'peak', 'that', 'rewards', 'climbers', 'with', 'awe', 'inspiring', 'views', 'from', 'its', 'summit', '.']","(0, 6)","[('Kyrgun', 0), ('is', 7), ('a', 10), ('challenging', 12), ('peak', 24), ('that', 29), ('rewards', 34), ('climbers', 42), ('with', 51), ('awe', 56), ('inspiring', 60), ('views', 70), ('from', 76), ('its', 81), ('summit', 85), ('.', 91)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lublyana,Lublyana is a majestic mountain known for its dramatic cliffs and breathtaking sunrise views.,"['Lublyana', 'is', 'a', 'majestic', 'mountain', 'known', 'for', 'its', 'dramatic', 'cliffs', 'and', 'breathtaking', 'sunrise', 'views', '.']","(0, 8)","[('Lublyana', 0), ('is', 9), ('a', 12), ('majestic', 14), ('mountain', 23), ('known', 32), ('for', 38), ('its', 42), ('dramatic', 46), ('cliffs', 55), ('and', 62), ('breathtaking', 66), ('sunrise', 79), ('views', 87), ('.', 92)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Karmatura,"Karmatura is a hidden treasure, offering a serene escape from the hustle and bustle of city life.","['Karmatura', 'is', 'a', 'hidden', 'treasure', ',', 'offering', 'a', 'serene', 'escape', 'from', 'the', 'hustle', 'and', 'bustle', 'of', 'city', 'life', '.']","(0, 9)","[('Karmatura', 0), ('is', 10), ('a', 13), ('hidden', 15), ('treasure', 22), (',', 30), ('offering', 32), ('a', 41), ('serene', 43), ('escape', 50), ('from', 57), ('the', 62), ('hustle', 66), ('and', 73), ('bustle', 77), ('of', 84), ('city', 87), ('life', 92), ('.', 96)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Yarovysche,"Yarovysche is a mystical mountain shrouded in legends and folklore, waiting to be explored.","['Yarovysche', 'is', 'a', 'mystical', 'mountain', 'shrouded', 'in', 'legends', 'and', 'folklore', ',', 'waiting', 'to', 'be', 'explored', '.']","(0, 10)","[('Yarovysche', 0), ('is', 11), ('a', 14), ('mystical', 16), ('mountain', 25), ('shrouded', 34), ('in', 43), ('legends', 46), ('and', 54), ('folklore', 58), (',', 66), ('waiting', 68), ('to', 76), ('be', 79), ('explored', 82), ('.', 90)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kosyak,Kosyak is a rugged mountain that beckons adventure seekers with its rocky terrain and thrilling trails.,"['Kosyak', 'is', 'a', 'rugged', 'mountain', 'that', 'beckons', 'adventure', 'seekers', 'with', 'its', 'rocky', 'terrain', 'and', 'thrilling', 'trails', '.']","(0, 6)","[('Kosyak', 0), ('is', 7), ('a', 10), ('rugged', 12), ('mountain', 19), ('that', 28), ('beckons', 33), ('adventure', 41), ('seekers', 51), ('with', 59), ('its', 64), ('rocky', 68), ('terrain', 74), ('and', 82), ('thrilling', 86), ('trails', 96), ('.', 102)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sukel,"Sukel is a tranquil mountain retreat, perfect for those seeking solitude amidst nature's embrace.","['Sukel', 'is', 'a', 'tranquil', 'mountain', 'retreat', ',', 'perfect', 'for', 'those', 'seeking', 'solitude', 'amidst', ""nature's"", 'embrace', '.']","(0, 5)","[('Sukel', 0), ('is', 6), ('a', 9), ('tranquil', 11), ('mountain', 20), ('retreat', 29), (',', 36), ('perfect', 38), ('for', 46), ('those', 50), ('seeking', 56), ('solitude', 64), ('amidst', 73), (""nature's"", 80), ('embrace', 89), ('.', 96)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Segovka,"Segovka is a paradise for mountaineers, with its challenging peaks and exhilarating climbing routes.","['Segovka', 'is', 'a', 'paradise', 'for', 'mountaineers', ',', 'with', 'its', 'challenging', 'peaks', 'and', 'exhilarating', 'climbing', 'routes', '.']","(0, 7)","[('Segovka', 0), ('is', 8), ('a', 11), ('paradise', 13), ('for', 22), ('mountaineers', 26), (',', 38), ('with', 40), ('its', 45), ('challenging', 49), ('peaks', 61), ('and', 67), ('exhilarating', 71), ('climbing', 84), ('routes', 93), ('.', 99)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kiskintash,"Kiskintash is a hidden gem nestled in the heart of nature, offering serenity and tranquility.","['Kiskintash', 'is', 'a', 'hidden', 'gem', 'nestled', 'in', 'the', 'heart', 'of', 'nature', ',', 'offering', 'serenity', 'and', 'tranquility', '.']","(0, 10)","[('Kiskintash', 0), ('is', 1), ('a', 7), ('hidden', 16), ('gem', 23), ('nestled', 27), ('in', 35), ('the', 38), ('heart', 42), ('of', 48), ('nature', 51), (',', 57), ('offering', 59), ('serenity', 68), ('and', 77), ('tranquility', 81), ('.', 92)]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Yasenets,"Yasenets is a mountain of dreams, with its enchanting landscapes and captivating beauty.","['Yasenets', 'is', 'a', 'mountain', 'of', 'dreams', ',', 'with', 'its', 'enchanting', 'landscapes', 'and', 'captivating', 'beauty', '.']","(0, 8)","[('Yasenets', 0), ('is', 9), ('a', 12), ('mountain', 14), ('of', 23), ('dreams', 26), (',', 32), ('with', 34), ('its', 39), ('enchanting', 43), ('landscapes', 54), ('and', 55), ('captivating', 69), ('beauty', 81), ('.', 87)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Simovata,"Simovata is a haven for outdoor enthusiasts, with its abundance of hiking trails and breathtaking viewpoints.","['Simovata', 'is', 'a', 'haven', 'for', 'outdoor', 'enthusiasts', ',', 'with', 'its', 'abundance', 'of', 'hiking', 'trails', 'and', 'breathtaking', 'viewpoints', '.']","(0, 8)","[('Simovata', 0), ('is', 9), ('a', 12), ('haven', 14), ('for', 20), ('outdoor', 24), ('enthusiasts', 32), (',', 43), ('with', 45), ('its', 50), ('abundance', 54), ('of', 64), ('hiking', 67), ('trails', 74), ('and', 81), ('breathtaking', 85), ('viewpoints', 98), ('.', 108)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bledar,"Bledar stands tall and proud, offering breathtaking views of the surrounding valleys and forests.","['Bledar', 'stands', 'tall', 'and', 'proud', ',', 'offering', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'valleys', 'and', 'forests', '.']","(0, 6)","[('Bledar', 0), ('stands', 7), ('tall', 14), ('and', 19), ('proud', 23), (',', 28), ('offering', 30), ('breathtaking', 39), ('views', 52), ('of', 58), ('the', 61), ('surrounding', 65), ('valleys', 77), ('and', 85), ('forests', 89), ('.', 96)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Livaz-Kaya,"Livaz-Kaya is a majestic peak that overlooks a picturesque landscape, inviting adventurers to explore its rugged trails.","['Livaz', 'Kaya', 'is', 'a', 'majestic', 'peak', 'that', 'overlooks', 'a', 'picturesque', 'landscape', ',', 'inviting', 'adventurers', 'to', 'explore', 'its', 'rugged', 'trails', '.']","(0, 10)","[('Livaz', 0), ('Kaya', 6), ('is', 11), ('a', 14), ('majestic', 16), ('peak', 25), ('that', 30), ('overlooks', 35), ('a', 45), ('picturesque', 47), ('landscape', 59), (',', 68), ('inviting', 70), ('adventurers', 79), ('to', 91), ('explore', 94), ('its', 102), ('rugged', 106), ('trails', 113), ('.', 119)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Rohoscha,"Rohoscha is known for its challenging terrain, attracting experienced hikers and climbers seeking an adrenaline rush.","['Rohoscha', 'is', 'known', 'for', 'its', 'challenging', 'terrain', ',', 'attracting', 'experienced', 'hikers', 'and', 'climbers', 'seeking', 'an', 'adrenaline', 'rush', '.']","(0, 8)","[('Rohoscha', 0), ('is', 9), ('known', 12), ('for', 18), ('its', 22), ('challenging', 26), ('terrain', 38), (',', 45), ('attracting', 47), ('experienced', 58), ('hikers', 70), ('and', 77), ('climbers', 81), ('seeking', 90), ('an', 98), ('adrenaline', 101), ('rush', 112), ('.', 116)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bankov,Bankov rewards intrepid trekkers with panoramic vistas of rolling hills and shimmering lakes.,"['Bankov', 'rewards', 'intrepid', 'trekkers', 'with', 'panoramic', 'vistas', 'of', 'rolling', 'hills', 'and', 'shimmering', 'lakes', '.']","(0, 6)","[('Bankov', 0), ('rewards', 7), ('intrepid', 15), ('trekkers', 24), ('with', 33), ('panoramic', 38), ('vistas', 48), ('of', 55), ('rolling', 58), ('hills', 66), ('and', 72), ('shimmering', 76), ('lakes', 87), ('.', 92)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Fetatsiv,"Fetatsiv's summit provides a serene sanctuary, where one can immerse themselves in the tranquility of nature.","[""Fetatsiv's"", 'summit', 'provides', 'a', 'serene', 'sanctuary', ',', 'where', 'one', 'can', 'immerse', 'themselves', 'in', 'the', 'tranquility', 'of', 'nature', '.']","(0, 8)","[(""Fetatsiv's"", 0), ('summit', 11), ('provides', 18), ('a', 27), ('serene', 29), ('sanctuary', 36), (',', 45), ('where', 47), ('one', 53), ('can', 57), ('immerse', 61), ('themselves', 69), ('in', 80), ('the', 83), ('tranquility', 87), ('of', 99), ('nature', 102), ('.', 108)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Koloska,"Koloska's majestic silhouette dominates the horizon, beckoning explorers to conquer its lofty heights.","[""Koloska's"", 'majestic', 'silhouette', 'dominates', 'the', 'horizon', ',', 'beckoning', 'explorers', 'to', 'conquer', 'its', 'lofty', 'heights', '.']","(0, 7)","[(""Koloska's"", 0), ('majestic', 10), ('silhouette', 19), ('dominates', 30), ('the', 40), ('horizon', 44), (',', 51), ('beckoning', 53), ('explorers', 63), ('to', 73), ('conquer', 76), ('its', 84), ('lofty', 88), ('heights', 94), ('.', 101)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Horsuluy,"Horsuluy offers a mesmerizing blend of jagged cliffs, lush meadows, and cascading waterfalls.","['Horsuluy', 'offers', 'a', 'mesmerizing', 'blend', 'of', 'jagged', 'cliffs', ',', 'lush', 'meadows', ',', 'and', 'cascading', 'waterfalls', '.']","(0, 8)","[('Horsuluy', 0), ('offers', 9), ('a', 16), ('mesmerizing', 18), ('blend', 30), ('of', 36), ('jagged', 39), ('cliffs', 46), (',', 52), ('lush', 54), ('meadows', 59), (',', 66), ('and', 68), ('cascading', 72), ('waterfalls', 82), ('.', 92)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sernove,Sernove's rugged beauty is a testament to the power and resilience of nature.,"[""Sernove's"", 'rugged', 'beauty', 'is', 'a', 'testament', 'to', 'the', 'power', 'and', 'resilience', 'of', 'nature', '.']","(0, 7)","[(""Sernove's"", 0), ('rugged', 10), ('beauty', 17), ('is', 24), ('a', 27), ('testament', 29), ('to', 39), ('the', 42), ('power', 46), ('and', 52), ('resilience', 56), ('of', 67), ('nature', 70), ('.', 76)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Harby,"Harby's summit offers an awe-inspiring panorama, rewarding adventurers with a sense of accomplishment.","[""Harby's"", 'summit', 'offers', 'an', 'awe', 'inspiring', 'panorama', ',', 'rewarding', 'adventurers', 'with', 'a', 'sense', 'of', 'accomplishment', '.']","(0, 5)","[(""Harby's"", 0), ('summit', 8), ('offers', 15), ('an', 22), ('awe', 25), ('inspiring', 29), ('panorama', 39), (',', 47), ('rewarding', 49), ('adventurers', 59), ('with', 71), ('a', 76), ('sense', 78), ('of', 84), ('accomplishment', 87), ('.', 101)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Yasevets,"Yasevets is a hidden gem, nestled amidst dense forests and enchanting wildlife.","['Yasevets', 'is', 'a', 'hidden', 'gem', ',', 'nestled', 'amidst', 'dense', 'forests', 'and', 'enchanting', 'wildlife', '.']","(0, 8)","[('Yasevets', 0), ('is', 9), ('a', 12), ('hidden', 14), ('gem', 21), (',', 24), ('nestled', 26), ('amidst', 34), ('dense', 41), ('forests', 47), ('and', 55), ('enchanting', 59), ('wildlife', 70), ('.', 78)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pryslonets,"Pryslonets boasts a challenging ascent, but the view from the top makes every step worthwhile.","['Pryslonets', 'boasts', 'a', 'challenging', 'ascent', ',', 'but', 'the', 'view', 'from', 'the', 'top', 'makes', 'every', 'step', 'worthwhile', '.']","(0, 10)","[('Pryslonets', 0), ('boasts', 11), ('a', 13), ('challenging', 20), ('ascent', 32), (',', 38), ('but', 40), ('the', 44), ('view', 48), ('from', 53), ('the', 58), ('top', 62), ('makes', 66), ('every', 72), ('step', 78), ('worthwhile', 83), ('.', 93)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chalovystyi,"Chalovystyi's majestic slopes are a playground for outdoor enthusiasts, offering thrilling adventures at every turn.","[""Chalovystyi's"", 'majestic', 'slopes', 'are', 'a', 'playground', 'for', 'outdoor', 'enthusiasts', ',', 'offering', 'thrilling', 'adventures', 'at', 'every', 'turn', '.']","(0, 11)","[(""Chalovystyi's"", 0), ('majestic', 14), ('slopes', 23), ('are', 30), ('a', 30), ('playground', 36), ('for', 47), ('outdoor', 51), ('enthusiasts', 59), (',', 70), ('offering', 72), ('thrilling', 81), ('adventures', 91), ('at', 102), ('every', 105), ('turn', 111), ('.', 115)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pryhorodyshte,"Pryhorodyshte is a hiker's paradise, with its well-marked trails and breathtaking vistas.","['Pryhorodyshte', 'is', 'a', ""hiker's"", 'paradise', ',', 'with', 'its', 'well', 'marked', 'trails', 'and', 'breathtaking', 'vistas', '.']","(0, 13)","[('Pryhorodyshte', 0), ('is', 14), ('a', 17), (""hiker's"", 19), ('paradise', 27), (',', 35), ('with', 37), ('its', 42), ('well', 46), ('marked', 51), ('trails', 58), ('and', 65), ('breathtaking', 69), ('vistas', 82), ('.', 88)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lypchi,Lypchi's rugged terrain and stunning rock formations make it a haven for rock climbers and bouldering enthusiasts.,"[""Lypchi's"", 'rugged', 'terrain', 'and', 'stunning', 'rock', 'formations', 'make', 'it', 'a', 'haven', 'for', 'rock', 'climbers', 'and', 'bouldering', 'enthusiasts', '.']","(0, 6)","[(""Lypchi's"", 0), ('rugged', 9), ('terrain', 16), ('and', 24), ('stunning', 28), ('rock', 37), ('formations', 42), ('make', 53), ('it', 58), ('a', 61), ('haven', 63), ('for', 69), ('rock', 73), ('climbers', 78), ('and', 87), ('bouldering', 91), ('enthusiasts', 102), ('.', 113)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bereznikovata-Kichera,Bereznikovata-Kichera's pristine alpine meadows and crystal-clear lakes create a postcard-worthy landscape.,"['Bereznikovata', ""Kichera's"", 'pristine', 'alpine', 'meadows', 'and', 'crystal', 'clear', 'lakes', 'create', 'a', 'postcard', 'worthy', 'landscape', '.']","(0, 21)","[('Bereznikovata', 0), (""Kichera's"", 14), ('pristine', 24), ('alpine', 33), ('meadows', 40), ('and', 48), ('crystal', 52), ('clear', 60), ('lakes', 66), ('create', 72), ('a', 75), ('postcard', 81), ('worthy', 90), ('landscape', 97), ('.', 106)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Vydilok,"Vydilok's summit provides an uninterrupted view of the surrounding valleys, leaving visitors in awe of nature's grandeur.","[""Vydilok's"", 'summit', 'provides', 'an', 'uninterrupted', 'view', 'of', 'the', 'surrounding', 'valleys', ',', 'leaving', 'visitors', 'in', 'awe', 'of', ""nature's"", 'grandeur', '.']","(0, 7)","[(""Vydilok's"", 0), ('summit', 10), ('provides', 17), ('an', 26), ('uninterrupted', 29), ('view', 43), ('of', 48), ('the', 51), ('surrounding', 55), ('valleys', 67), (',', 74), ('leaving', 76), ('visitors', 84), ('in', 93), ('awe', 96), ('of', 100), (""nature's"", 103), ('grandeur', 112), ('.', 120)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Maradykov,Maradykov's remote location and untouched wilderness offer a true escape from the hustle and bustle of everyday life.,"[""Maradykov's"", 'remote', 'location', 'and', 'untouched', 'wilderness', 'offer', 'a', 'true', 'escape', 'from', 'the', 'hustle', 'and', 'bustle', 'of', 'everyday', 'life', '.']","(0, 9)","[(""Maradykov's"", 0), ('remote', 12), ('location', 19), ('and', 28), ('untouched', 32), ('wilderness', 42), ('offer', 53), ('a', 59), ('true', 61), ('escape', 66), ('from', 73), ('the', 78), ('hustle', 82), ('and', 89), ('bustle', 93), ('of', 100), ('everyday', 103), ('life', 112), ('.', 116)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Obnozhanskyi,"Obnozhanskyi's rugged trails wind through dense forests and lead to breathtaking vistas, rewarding adventurers with unforgettable experiences.","[""Obnozhanskyi's"", 'rugged', 'trails', 'wind', 'through', 'dense', 'forests', 'and', 'lead', 'to', 'breathtaking', 'vistas', ',', 'rewarding', 'adventurers', 'with', 'unforgettable', 'experiences', '.']","(0, 12)","[(""Obnozhanskyi's"", 0), ('rugged', 15), ('trails', 22), ('wind', 29), ('through', 34), ('dense', 42), ('forests', 48), ('and', 56), ('lead', 60), ('to', 65), ('breathtaking', 68), ('vistas', 81), (',', 87), ('rewarding', 89), ('adventurers', 99), ('with', 111), ('unforgettable', 116), ('experiences', 130), ('.', 141)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sparoska,Sparoska's towering cliffs and dramatic ridgelines make it a paradise for adrenaline junkies and photographers alike.,"[""Sparoska's"", 'towering', 'cliffs', 'and', 'dramatic', 'ridgelines', 'make', 'it', 'a', 'paradise', 'for', 'adrenaline', 'junkies', 'and', 'photographers', 'alike', '.']","(0, 8)","[(""Sparoska's"", 0), ('towering', 11), ('cliffs', 20), ('and', 27), ('dramatic', 31), ('ridgelines', 40), ('make', 51), ('it', 56), ('a', 59), ('paradise', 61), ('for', 70), ('adrenaline', 74), ('junkies', 85), ('and', 93), ('photographers', 97), ('alike', 111), ('.', 116)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Khomovets,"Khomovets's summit provides a bird's-eye view of the surrounding countryside, revealing nature's intricate tapestry.","[""Khomovets's"", 'summit', 'provides', 'a', ""bird's"", 'eye', 'view', 'of', 'the', 'surrounding', 'countryside', ',', 'revealing', ""nature's"", 'intricate', 'tapestry', '.']","(0, 9)","[(""Khomovets's"", 0), ('summit', 12), ('provides', 19), ('a', 28), (""bird's"", 30), ('eye', 37), ('view', 41), ('of', 46), ('the', 49), ('surrounding', 53), ('countryside', 65), (',', 76), ('revealing', 78), (""nature's"", 88), ('intricate', 97), ('tapestry', 107), ('.', 115)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Frasyn,Frasyn is a majestic peak that offers breathtaking views of the surrounding valleys and forests.,"['Frasyn', 'is', 'a', 'majestic', 'peak', 'that', 'offers', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'valleys', 'and', 'forests', '.']","(0, 6)","[('Frasyn', 0), ('is', 7), ('a', 10), ('majestic', 12), ('peak', 21), ('that', 26), ('offers', 31), ('breathtaking', 38), ('views', 51), ('of', 57), ('the', 60), ('surrounding', 64), ('valleys', 76), ('and', 84), ('forests', 88), ('.', 95)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pusta,"Pusta stands tall, its rugged slopes challenging even the most experienced climbers.","['Pusta', 'stands', 'tall', ',', 'its', 'rugged', 'slopes', 'challenging', 'even', 'the', 'most', 'experienced', 'climbers', '.']","(0, 5)","[('Pusta', 0), ('stands', 6), ('tall', 13), (',', 17), ('its', 19), ('rugged', 23), ('slopes', 30), ('challenging', 37), ('even', 49), ('the', 54), ('most', 58), ('experienced', 63), ('climbers', 75), ('.', 83)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
